uuid,owner_id
32a6a53e-804c-4bc3-929d-7b42cff642c3,8a85f9812f4946c6012f7c87537d6e6f
f863d4a9-ae68-4ae1-bee6-6d32cea22cfd,8a85f9812ede00af012efbe057824782
e315410e-9af9-44c5-bbc9-674dd0bc3dd0,8a85f981309a0c0101309d14e60928cb
cea5bbc5-24c0-4cd2-bcea-c110aeed35c0,8a85f981302cbaf201303b324992094b
d242d220-a73f-4734-8fd3-22864a68074e,8a85f9812f4946c6012fb9359f6a057b
26e559e8-0bd0-443c-8ea2-08a16b5de22a,8a85f9812f035407012f158dfc516b82
c4317b3d-fd3b-4af9-91a8-267c4764411b,8a85f9812ede00af012efd8d40250775
4567d136-c615-4f8c-b038-6e834bb66071,8a85f9812ede00af012ef5ecdfdf7b77
2bbd47bb-a278-4cab-970c-a5da45e1fbcb,8a85f98130d207ce0130dbf773330122
36ee3add-9ea1-4563-9799-a68c0d1abe31,8a85f9812f035407012f25be474f2afd
