uuid,owner_id
c12387f7-78fb-432c-b39c-de9bc24ca752,8a85f9812e264610012e2ac66c7b0112
09915f61-c38b-474b-9cee-4f0384ac6ea1,8a85f9812e264610012e2ac7b6c00144
77d2f3c8-7804-4f43-9c0f-6d40871adc5c,8a85f9812e264610012e2acda98a028c
1010daec-5b9c-4bfb-a33e-a6644abeef56,8a85f9812e264610012e2acda9f6028d
5aa5d745-57cc-4e81-8acd-b3492fe78d72,8a85f9812e264610012e2ac4f4b000dc
71ef2dfc-e17e-47e5-9873-ce4103af7ddc,8a85f9812e264610012e2ad23d57032d
898f354e-22ed-450e-a260-7759a35cd3c3,8a85f9812e264610012e2acda930028b
aecb867c-3c0c-4315-986a-f392bfc51715,8a85f9812e264610012e2acff45602fe
3660de4c-b876-4ae1-959a-a754944b0ba3,8a85f9812e264610012e2ad156410319
8d8355e6-4420-4c77-b894-cd32bce824e0,8a85f9812e264610012e2ad4fb4c042c
