uuid,owner_id
e569d8a7-5c7b-4d1e-9755-82ab74e3cf38,8a85f9812f4946c6012fdaf2c7b14757
8af5df70-d6e7-45b1-8bf4-c93246a80d1b,8a85f9812f4946c6012fdaf2c7b14757
490dec72-ffa9-48ef-96c1-9247f12b7751,8a85f9813104124d013109275edd2d7d
bfdb4770-50cf-4d81-9303-768aa142d680,8a85f9813104124d013109275edd2d7d
d42f4248-bd1d-44ca-bfa5-be978ae86c73,8a85f981308223d50130939f295c4f88
db79de0a-b917-444c-8fa7-d3329b01917a,8a85f9812f035407012f0dc9f0392d6f
f86da950-c6dc-4244-b082-e2b6b07763f5,8a85f98131496eff0131684661e14e50
0390a111-b882-4b38-a89f-5df7d0accdfc,8a85f98131496eff0131684661e14e50
12707dbb-5c8f-4e6e-972f-619c2d7b10e4,8a85f9812f4946c6012f596085583e9f
68ef14df-2125-4c51-b98d-bf8304e8f46d,8a85f9812f035407012f0dc9f0392d6f
