consumer_uuid,serials,owner_id
25fb963a-1258-4277-9868-753411b56eeb,5778855290485979477,8a85f9812f273c09012f2e8563ff6dcd
427b1c64-9e8d-4689-89e8-d3d766ab0046,941704560178058079,8a85f9812ede00af012eeb35f52e3932
1b6f6752-e1d5-4fd9-8a85-c67542a551b1,4281195514233151821,8a85f9812ede00af012f00fc60325380
fefe9278-2076-4804-a2be-9713ea5a70d0,9049907918538586171,8a85f981318e9af4013194587e043167
16a71688-21e8-4f87-aee0-333737fb1aed,4700975006216495032,8a85f9812f035407012f05748f0c7174
f15f8605-f01c-4e2b-981e-94969e0e0996,6189442933544167377,8a85f9813104124d013146e3bbd70f22
05881fbe-7a3c-45f6-a8ed-1229e0773f50,7161843978911855364,8a85f9812f4946c6012f724417d15bad
f3aaf91f-7657-4373-b643-53dbdf38d69c,8483111835785973737,8a85f981304ca8ff01306f155ec542ed
d77070c2-d328-451a-ab94-cc10cbd07ebc,6573995500545019312,8a85f98130052720013025c8f4341552
6fa4bdda-2274-46ed-af2d-1e0ec23af988,1681249265726712835,8a85f9813005272001300bec5e3e4e61
