ownerkey,poolid,sku,totalAvailable,expires,id
7971853,8a99f99155ef2ed50155f0043c0a7369,MCT3295,1,2018-06-20,8a99f98c557449a40155746e8edb003d
7971854,8a99f99155ef2ed50155eff51ade3b93,MCT3295,1,2018-06-20,8a99f98c557449a40155746f157c003e
7971856,8a99f99455ef37300155efff05651239,MCT3295,1,2018-06-20,8a99f98d557449a50155746f242b0001
7971857,8a99f99455ef37300155eff8580d721e,MCT3295,1,2018-06-20,8a99f98e557449ac0155746f2f2a0000
7971868,8a99f99355eb17970155eff40ba46db1,MCT3295,1,2018-06-20,8a99f98d557449a50155746f3b2b0002
