uuid,owner_id
c5a598c6-c1a4-4497-bf91-11a48d47c198,8a85f9812e16f9da012e24ca93ff000e
f57550a6-4b54-4f2b-a46e-125dd7e6d507,8a85f9812e16f9da012e24d3bf960032
6a453894-c0de-473a-8c51-dba32d8e745f,8a85f9812e16f9da012e24a8f5da0002
34ffc713-911f-43ee-b4a9-b38bce63aa77,8a85f9812e16f9da012e24a8f5da0002
a70bc005-cfeb-468f-a281-56a69bb0d0c3,8a85f9812e16f9da012e1726b5620001
a127ab33-61c8-4f05-8005-ce0435e087cf,8a85f9812e264610012e2abf058e003a
ff5c7edc-03e6-4baf-a564-ceedd50827d2,8a85f9812e264610012e2ac152a0005b
51139ac0-b325-467c-8da8-52daab890bda,8a85f9812e264610012e2ac2ad6b0072
fd44c11e-b58a-4751-be2f-96ba7d26a984,8a85f9812e264610012e2ac654280110
069f70a8-abac-4d88-bc31-c990f4d24bbf,8a85f9812e264610012e2ac7231c0140
